All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
362.000000	4.281950	6.422582	3.990631	9.140382	
363.000000	4.277793	6.761612	3.974239	8.729534	
364.000000	4.273480	7.043642	3.958112	8.301325	
365.000000	4.269018	7.269299	3.942245	7.864305	
366.000000	4.264412	7.440518	3.926635	7.426400	
367.000000	4.259671	7.560340	3.911279	6.994717	
368.000000	4.254797	7.632683	3.896173	6.575419	
369.000000	4.249799	7.662113	3.881313	6.173645	
370.000000	4.244681	7.653618	3.866696	5.793479	
371.000000	4.239449	7.612403	3.852317	5.437974	
372.000000	4.234107	7.543692	3.838174	5.109200	
373.000000	4.228658	7.452575	3.824262	4.808330	
374.000000	4.223112	7.343876	3.810577	4.535739	
375.000000	4.217470	7.222054	3.797117	4.291127	
376.000000	4.211737	7.091134	3.783877	4.073630	
377.000000	4.205918	6.954665	3.770853	3.881949	
378.000000	4.200016	6.815704	3.758041	3.714458	
379.000000	4.194036	6.676819	3.745439	3.569312	
380.000000	4.187980	6.540106	3.733042	3.444535	
381.000000	4.181854	6.407228	3.720846	3.338105	
382.000000	4.175659	6.279447	3.708848	3.248011	
383.000000	4.169400	6.157678	3.697045	3.172309	
384.000000	4.163079	6.042531	3.685431	3.109162	
385.000000	4.156700	5.934360	3.674005	3.056858	
386.000000	4.150266	5.833309	3.662762	3.013835	
387.000000	4.143778	5.739355	3.651699	2.978686	
388.000000	4.137240	5.652346	3.640812	2.950159	
389.000000	4.130656	5.572030	3.630098	2.927154	
390.000000	4.124025	5.498090	3.619553	2.908715	
391.000000	4.117352	5.430164	3.609174	2.894022	
392.000000	4.110638	5.367863	3.598957	2.882375	
393.000000	4.103886	5.310791	3.588899	2.873182	
394.000000	4.097096	5.258554	3.578998	2.865951	
395.000000	4.090272	5.210765	3.569248	2.860271	
396.000000	4.083416	5.167058	3.559649	2.855805	
397.000000	4.076527	5.127087	3.550195	2.852277	
398.000000	4.069609	5.090527	3.540884	2.849461	
399.000000	4.062662	5.057081	3.531713	2.847179	
400.000000	4.055689	5.026474	3.522679	2.845284	
401.000000	4.048690	4.998455	3.513778	2.843662	
402.000000	4.041667	4.972796	3.505009	2.842222	
403.000000	4.034621	4.949291	3.496367	2.840891	
404.000000	4.027554	4.927752	3.487850	2.839615	
405.000000	4.020465	4.908011	3.479455	2.838351	
406.000000	4.013356	4.889915	3.471180	2.837065	
407.000000	4.006228	4.873327	3.463021	2.835732	
408.000000	3.999082	4.858121	3.454976	2.834336	
409.000000	3.991918	4.844186	3.447042	2.832863	
410.000000	3.984738	4.831419	3.439217	2.831303	
411.000000	3.977541	4.819728	3.431498	2.829651	
412.000000	3.970330	4.809029	3.423882	2.827904	
413.000000	3.963103	4.799245	3.416368	2.826061	
414.000000	3.955862	4.790308	3.408952	2.824124	
415.000000	3.948606	4.782154	3.401632	2.822093	
416.000000	3.941337	4.774725	3.394406	2.819972	
417.000000	3.934055	4.767969	3.387271	2.817765	
418.000000	3.926759	4.761837	3.380226	2.815479	
419.000000	3.919452	4.756284	3.373268	2.813116	
420.000000	3.912131	4.751271	3.366394	2.810685	
421.000000	3.904799	4.746760	3.359603	2.808191	
422.000000	3.897454	4.742719	3.352893	2.805642	
423.000000	3.890097	4.739115	3.346262	2.803043	
424.000000	3.882728	4.735922	3.339707	2.800403	
425.000000	3.875347	4.733113	3.333227	2.797729	
426.000000	3.867954	4.730666	3.326819	2.795027	
427.000000	3.860549	4.728558	3.320482	2.792306	
428.000000	3.853132	4.726772	3.314214	2.789572	
429.000000	3.845703	4.725291	3.308014	2.786833	
430.000000	3.838261	4.724098	3.301878	2.784096	
431.000000	3.830807	4.723181	3.295807	2.781367	
432.000000	3.823341	4.722528	3.289797	2.778653	
433.000000	3.815862	4.722127	3.283848	2.775961	
434.000000	3.808370	4.721972	3.277957	2.773296	
435.000000	3.800865	4.722051	3.272123	2.770664	
436.000000	3.793346	4.722360	3.266345	2.768070	
437.000000	3.785814	4.722892	3.260621	2.765518	
438.000000	3.778267	4.723644	3.254950	2.763014	
439.000000	3.770707	4.724611	3.249330	2.760561	
440.000000	3.763131	4.725791	3.243759	2.758162	
441.000000	3.755541	4.727180	3.238237	2.755821	
442.000000	3.747935	4.728780	3.232762	2.753539	
443.000000	3.740314	4.730588	3.227333	2.751319	
444.000000	3.732676	4.732605	3.221948	2.749161	
445.000000	3.725022	4.734832	3.216607	2.747068	
446.000000	3.717351	4.737267	3.211307	2.745038	
447.000000	3.709662	4.739915	3.206048	2.743072	
448.000000	3.701956	4.742775	3.200829	2.741168	
449.000000	3.694231	4.745850	3.195649	2.739326	
450.000000	3.686488	4.749142	3.190506	2.737542	
451.000000	3.678725	4.752654	3.185399	2.735816	
452.000000	3.670943	4.756386	3.180327	2.734143	
453.000000	3.663141	4.760344	3.175291	2.732520	
454.000000	3.655318	4.764528	3.170287	2.730942	
455.000000	3.647474	4.768941	3.165316	2.729407	
456.000000	3.639607	4.773586	3.160376	2.727907	
457.000000	3.631720	4.778465	3.155467	2.726439	
458.000000	3.623809	4.783580	3.150588	2.724996	
459.000000	3.615874	4.788934	3.145737	2.723572	
460.000000	3.607916	4.794528	3.140915	2.722160	
461.000000	3.599934	4.800365	3.136120	2.720753	
462.000000	3.591927	4.806445	3.131351	2.719344	
463.000000	3.583894	4.812770	3.126608	2.717925	
464.000000	3.575835	4.819340	3.121891	2.716489	
465.000000	3.567750	4.826156	3.117197	2.715026	
466.000000	3.559637	4.833219	3.112527	2.713530	
467.000000	3.551497	4.840528	3.107880	2.711991	
468.000000	3.543328	4.848083	3.103255	2.710400	
469.000000	3.535131	4.855882	3.098652	2.708748	
470.000000	3.526904	4.863925	3.094070	2.707027	
471.000000	3.518647	4.872211	3.089509	2.705228	
472.000000	3.510359	4.880737	3.084967	2.703341	
473.000000	3.502040	4.889501	3.080445	2.701357	
474.000000	3.493690	4.898499	3.075942	2.699267	
475.000000	3.485307	4.907730	3.071457	2.697062	
476.000000	3.476891	4.917189	3.066990	2.694732	
477.000000	3.468441	4.926872	3.062541	2.692269	
478.000000	3.459957	4.936775	3.058109	2.689663	
479.000000	3.451439	4.946894	3.053693	2.686907	
480.000000	3.442885	4.957223	3.049294	2.683990	
481.000000	3.434295	4.967756	3.044910	2.680905	
482.000000	3.425669	4.978489	3.040542	2.677644	
483.000000	3.417007	4.989414	3.036189	2.674197	
484.000000	3.408306	5.000526	3.031850	2.670558	
485.000000	3.399567	5.011817	3.027527	2.666718	
486.000000	3.390788	5.023281	3.023217	2.662671	
487.000000	3.381970	5.034909	3.018921	2.658408	
488.000000	3.373112	5.046694	3.014639	2.653923	
489.000000	3.364213	5.058630	3.010370	2.649210	
490.000000	3.355273	5.070706	3.006114	2.644263	
491.000000	3.346291	5.082915	3.001872	2.639074	
492.000000	3.337267	5.095248	2.997642	2.633640	
493.000000	3.328199	5.107697	2.993424	2.627953	
494.000000	3.319088	5.120251	2.989219	2.622011	
495.000000	3.309933	5.132903	2.985026	2.615807	
496.000000	3.300732	5.145642	2.980845	2.609338	
497.000000	3.291487	5.158460	2.976676	2.602600	
498.000000	3.282195	5.171347	2.972519	2.595590	
499.000000	3.272857	5.184292	2.968374	2.588304	
500.000000	3.263471	5.197288	2.964240	2.580740	
501.000000	3.254038	5.210322	2.960118	2.572895	
502.000000	3.244556	5.223387	2.956007	2.564767	
503.000000	3.235026	5.236471	2.951908	2.556356	
504.000000	3.225446	5.249566	2.947820	2.547658	
505.000000	3.215816	5.262661	2.943744	2.538675	
506.000000	3.206136	5.275746	2.939679	2.529405	
507.000000	3.196404	5.288812	2.935626	2.519848	
508.000000	3.186621	5.301848	2.931584	2.510004	
509.000000	3.176785	5.314847	2.927553	2.499875	
510.000000	3.166897	5.327796	2.923534	2.489460	
511.000000	3.156956	5.340688	2.919527	2.478761	
512.000000	3.146960	5.353513	2.915531	2.467780	
513.000000	3.136910	5.366261	2.911547	2.456518	
514.000000	3.126805	5.378924	2.907575	2.444979	
515.000000	3.116645	5.391492	2.903615	2.433164	
516.000000	3.106428	5.403957	2.899667	2.421076	
517.000000	3.096156	5.416310	2.895732	2.408719	
518.000000	3.085825	5.428543	2.891809	2.396095	
519.000000	3.075438	5.440647	2.887898	2.383209	
520.000000	3.064992	5.452614	2.884000	2.370064	
521.000000	3.054488	5.464436	2.880115	2.356666	
522.000000	3.043924	5.476106	2.876243	2.343017	
523.000000	3.033301	5.487616	2.872385	2.329123	
524.000000	3.022618	5.498959	2.868540	2.314988	
525.000000	3.011874	5.510128	2.864709	2.300619	
526.000000	3.001070	5.521115	2.860892	2.286019	
527.000000	2.990203	5.531916	2.857089	2.271195	
528.000000	2.979275	5.542522	2.853300	2.256152	
529.000000	2.968284	5.552928	2.849527	2.240896	
530.000000	2.957230	5.563129	2.845769	2.225432	
531.000000	2.946113	5.573119	2.842026	2.209768	
532.000000	2.934931	5.582891	2.838299	2.193909	
533.000000	2.923686	5.592443	2.834588	2.177861	
534.000000	2.912376	5.601768	2.830893	2.161632	
535.000000	2.901000	5.610861	2.827215	2.145227	
536.000000	2.889559	5.619719	2.823554	2.128653	
537.000000	2.878052	5.628338	2.819911	2.111917	
538.000000	2.866479	5.636714	2.816285	2.095025	
539.000000	2.854839	5.644843	2.812677	2.077985	
540.000000	2.843131	5.652721	2.809088	2.060803	
541.000000	2.831356	5.660347	2.805518	2.043487	
542.000000	2.819513	5.667717	2.801967	2.026043	
543.000000	2.807601	5.674828	2.798437	2.008478	
544.000000	2.795621	5.681678	2.794926	1.990799	
545.000000	2.783571	5.688266	2.791436	1.973013	
546.000000	2.771453	5.694589	2.787967	1.955127	
547.000000	2.759264	5.700645	2.784519	1.937149	
548.000000	2.747005	5.706435	2.781094	1.919084	
549.000000	2.734675	5.711955	2.777691	1.900940	
550.000000	2.722275	5.717205	2.774311	1.882724	
551.000000	2.709804	5.722185	2.770955	1.864443	
552.000000	2.697261	5.726894	2.767622	1.846103	
553.000000	2.684646	5.731332	2.764314	1.827711	
554.000000	2.671960	5.735498	2.761031	1.809274	
555.000000	2.659201	5.739394	2.757773	1.790799	
556.000000	2.646369	5.743018	2.754541	1.772291	
557.000000	2.633465	5.746372	2.751336	1.753757	
558.000000	2.620488	5.749456	2.748158	1.735205	
559.000000	2.607437	5.752272	2.745008	1.716639	
560.000000	2.594313	5.754819	2.741885	1.698067	
561.000000	2.581115	5.757099	2.738791	1.679494	
562.000000	2.567843	5.759114	2.735727	1.660926	
563.000000	2.554497	5.760866	2.732692	1.642369	
564.000000	2.541076	5.762355	2.729688	1.623829	
565.000000	2.527580	5.763583	2.726715	1.605312	
566.000000	2.514010	5.764553	2.723774	1.586822	
567.000000	2.500365	5.765266	2.720865	1.568367	
568.000000	2.486645	5.765726	2.717988	1.549950	
569.000000	2.472850	5.765933	2.715145	1.531578	
570.000000	2.458979	5.765890	2.712336	1.513255	
571.000000	2.445033	5.765601	2.709562	1.494986	
572.000000	2.431012	5.765067	2.706823	1.476776	
573.000000	2.416914	5.764291	2.704120	1.458629	
574.000000	2.402741	5.763276	2.701453	1.440551	
575.000000	2.388492	5.762026	2.698824	1.422546	
576.000000	2.374167	5.760542	2.696232	1.404618	
577.000000	2.359766	5.758829	2.693679	1.386772	
578.000000	2.345289	5.756889	2.691164	1.369011	
579.000000	2.330735	5.754725	2.688690	1.351339	
580.000000	2.316106	5.752341	2.686256	1.333760	
581.000000	2.301400	5.749741	2.683863	1.316278	
582.000000	2.286619	5.746926	2.681512	1.298897	
583.000000	2.271761	5.743902	2.679203	1.281620	
584.000000	2.256827	5.740671	2.676937	1.264450	
585.000000	2.241817	5.737237	2.674714	1.247390	
586.000000	2.226731	5.733604	2.672536	1.230444	
587.000000	2.211569	5.729775	2.670403	1.213614	
588.000000	2.196331	5.725754	2.668316	1.196903	
589.000000	2.181017	5.721544	2.666275	1.180314	
590.000000	2.165627	5.717149	2.664280	1.163850	
591.000000	2.150162	5.712574	2.662334	1.147512	
592.000000	2.134621	5.707820	2.660436	1.131304	
593.000000	2.119005	5.702893	2.658587	1.115227	
594.000000	2.103313	5.697796	2.656787	1.099284	
595.000000	2.087546	5.692533	2.655038	1.083476	
596.000000	2.071704	5.687107	2.653340	1.067806	
597.000000	2.055787	5.681523	2.651694	1.052275	
598.000000	2.039796	5.675783	2.650100	1.036885	
599.000000	2.023730	5.669892	2.648559	1.021637	
600.000000	2.007589	5.663854	2.647072	1.006533	
601.000000	1.991375	5.657671	2.645639	0.991574	
602.000000	1.975086	5.651348	2.644261	0.976761	
603.000000	1.958724	5.644889	2.642938	0.962096	
604.000000	1.942289	5.638297	2.641672	0.947580	
605.000000	1.925780	5.631575	2.640463	0.933213	
606.000000	1.909199	5.624727	2.639312	0.918997	
607.000000	1.892544	5.617758	2.638219	0.904932	
608.000000	1.875818	5.610670	2.637185	0.891019	
609.000000	1.859019	5.603467	2.636210	0.877258	
610.000000	1.842149	5.596151	2.635296	0.863650	
611.000000	1.825207	5.588728	2.634442	0.850196	
612.000000	1.808194	5.581201	2.633651	0.836895	
613.000000	1.791111	5.573571	2.632921	0.823749	
614.000000	1.773957	5.565844	2.632253	0.810756	
615.000000	1.756732	5.558022	2.631650	0.797919	
616.000000	1.739438	5.550108	2.631110	0.785235	
617.000000	1.722075	5.542107	2.630635	0.772706	
618.000000	1.704643	5.534019	2.630225	0.760332	
619.000000	1.687143	5.525851	2.629881	0.748112	
620.000000	1.669574	5.517603	2.629603	0.736045	
621.000000	1.651937	5.509280	2.629392	0.724133	
622.000000	1.634234	5.500884	2.629249	0.712374	
623.000000	1.616463	5.492417	2.629174	0.700768	
624.000000	1.598626	5.483884	2.629168	0.689315	
625.000000	1.580723	5.475287	2.629231	0.678014	
626.000000	1.562755	5.466629	2.629364	0.666865	
627.000000	1.544721	5.457912	2.629568	0.655866	
628.000000	1.526623	5.449140	2.629842	0.645018	
629.000000	1.508461	5.440314	2.630188	0.634320	
630.000000	1.490235	5.431438	2.630606	0.623771	
631.000000	1.471947	5.422514	2.631097	0.613371	
632.000000	1.453596	5.413545	2.631660	0.603118	
633.000000	1.435182	5.404533	2.632298	0.593011	
634.000000	1.416708	5.395481	2.633009	0.583051	
635.000000	1.398172	5.386391	2.633795	0.573235	
636.000000	1.379576	5.377264	2.634657	0.563563	
637.000000	1.360920	5.368105	2.635594	0.554035	
638.000000	1.342204	5.358914	2.636607	0.544648	
639.000000	1.323431	5.349695	2.637696	0.535403	
640.000000	1.304598	5.340449	2.638863	0.526297	
641.000000	1.285709	5.331178	2.640107	0.517331	
642.000000	1.266762	5.321884	2.641429	0.508502	
643.000000	1.247759	5.312570	2.642829	0.499810	
644.000000	1.228700	5.303237	2.644308	0.491253	
645.000000	1.209586	5.293887	2.645867	0.482831	
646.000000	1.190417	5.284523	2.647505	0.474543	
647.000000	1.171194	5.275145	2.649223	0.466386	
648.000000	1.151918	5.265756	2.651021	0.458360	
649.000000	1.132589	5.256357	2.652900	0.450464	
650.000000	1.113208	5.246951	2.654860	0.442696	
651.000000	1.093776	5.237538	2.656902	0.435055	
652.000000	1.074292	5.228121	2.659026	0.427541	
653.000000	1.054759	5.218700	2.661232	0.420151	
654.000000	1.035176	5.209278	2.663521	0.412884	
655.000000	1.015544	5.199856	2.665892	0.405740	
656.000000	0.995864	5.190435	2.668346	0.398716	
657.000000	0.976136	5.181017	2.670885	0.391812	
658.000000	0.956362	5.171603	2.673507	0.385026	
659.000000	0.936541	5.162194	2.676213	0.378357	
660.000000	0.916674	5.152792	2.679003	0.371804	
661.000000	0.896763	5.143398	2.681878	0.365365	
662.000000	0.876808	5.134013	2.684838	0.359039	
663.000000	0.856809	5.124638	2.687884	0.352824	
664.000000	0.836767	5.115274	2.691014	0.346720	
665.000000	0.816683	5.105924	2.694230	0.340726	
666.000000	0.796558	5.096586	2.697532	0.334839	
667.000000	0.776392	5.087263	2.700921	0.329058	
668.000000	0.756185	5.077955	2.704395	0.323383	
669.000000	0.735940	5.068664	2.707956	0.317811	
670.000000	0.715656	5.059390	2.711604	0.312342	
671.000000	0.695333	5.050135	2.715338	0.306975	
672.000000	0.674973	5.040898	2.719159	0.301707	
673.000000	0.654577	5.031682	2.723068	0.296538	
674.000000	0.634145	5.022486	2.727064	0.291467	
675.000000	0.613678	5.013311	2.731147	0.286492	
676.000000	0.593176	5.004159	2.735318	0.281611	
677.000000	0.572640	4.995029	2.739576	0.276825	
678.000000	0.552071	4.985924	2.743922	0.272130	
679.000000	0.531470	4.976842	2.748356	0.267527	
680.000000	0.510837	4.967786	2.752878	0.263014	
681.000000	0.490173	4.958755	2.757488	0.258590	
682.000000	0.469479	4.949749	2.762186	0.254253	
683.000000	0.448755	4.940771	2.766972	0.250002	
684.000000	0.428002	4.931819	2.771846	0.245837	
685.000000	0.407221	4.922895	2.776809	0.241755	
686.000000	0.386413	4.913999	2.781859	0.237756	
687.000000	0.365577	4.905131	2.786999	0.233839	
688.000000	0.344716	4.896293	2.792226	0.230002	
689.000000	0.323829	4.887483	2.797541	0.226244	
690.000000	0.302917	4.878704	2.802945	0.222564	
691.000000	0.281981	4.869954	2.808437	0.218962	
692.000000	0.261022	4.861235	2.814017	0.215435	
693.000000	0.240040	4.852547	2.819685	0.211983	
694.000000	0.219036	4.843889	2.825442	0.208605	
695.000000	0.198011	4.835263	2.831287	0.205299	
696.000000	0.176964	4.826669	2.837219	0.202065	
697.000000	0.155899	4.818107	2.843240	0.198901	
698.000000	0.134813	4.809577	2.849348	0.195807	
699.000000	0.113709	4.801079	2.855544	0.192781	
700.000000	0.092587	4.792614	2.861828	0.189823	
701.000000	0.071447	4.784181	2.868200	0.186931	
702.000000	0.050291	4.775781	2.874658	0.184104	
703.000000	0.029119	4.767414	2.881205	0.181342	
704.000000	0.007931	4.759080	2.887838	0.178643	
705.000000	-0.013271	4.750779	2.894558	0.176007	
706.000000	-0.034488	4.742512	2.901366	0.173432	
707.000000	-0.055718	4.734279	2.908260	0.170918	
708.000000	-0.076961	4.726079	2.915241	0.168463	
709.000000	-0.098216	4.717913	2.922308	0.166067	
710.000000	-0.119484	4.709780	2.929461	0.163729	
711.000000	-0.140761	4.701682	2.936701	0.161447	
712.000000	-0.162050	4.693617	2.944026	0.159222	
713.000000	-0.183348	4.685586	2.951437	0.157052	
714.000000	-0.204656	4.677589	2.958934	0.154937	
715.000000	-0.225971	4.669626	2.966516	0.152875	
716.000000	-0.247296	4.661697	2.974183	0.150865	
717.000000	-0.268627	4.653802	2.981935	0.148908	
718.000000	-0.289965	4.645941	2.989771	0.147001	
719.000000	-0.311310	4.638113	2.997692	0.145145	
720.000000	-0.332660	4.630320	3.005697	0.143338	
721.000000	-0.354015	4.622560	3.013786	0.141580	
722.000000	-0.375376	4.614834	3.021958	0.139870	
723.000000	-0.396740	4.607142	3.030214	0.138207	
724.000000	-0.418107	4.599483	3.038553	0.136590	
725.000000	-0.439483	4.591858	3.046975	0.135019	
726.000000	-0.460856	4.584267	3.055479	0.133494	
727.000000	-0.482231	4.576709	3.064066	0.132012	
728.000000	-0.503607	4.569184	3.072734	0.130574	
729.000000	-0.524985	4.561692	3.081484	0.129179	
730.000000	-0.546362	4.554234	3.090316	0.127827	
731.000000	-0.567740	4.546808	3.099229	0.126515	
732.000000	-0.589117	4.539416	3.108222	0.125245	
733.000000	-0.610492	4.532056	3.117296	0.124016	
734.000000	-0.631866	4.524729	3.126450	0.122825	
