All Layer Optical Constants
Wavelength (nm)	e1, Ordinary, Biaxial	e1, Extra-ordinary, Biaxial	e2, Ordinary, Biaxial	e2, Extra-ordinary, Biaxial
536.000000	3.726619	-23.548504	4.374331	14.125627	
537.000000	3.718127	-24.142363	4.368507	14.150858	
538.000000	3.709349	-24.749876	4.362642	14.178355	
539.000000	3.700284	-25.371471	4.356744	14.208272	
540.000000	3.690931	-26.007601	4.350822	14.240767	
541.000000	3.681291	-26.658733	4.344882	14.276004	
542.000000	3.671363	-27.325356	4.338933	14.314153	
543.000000	3.661147	-28.007986	4.332983	14.355391	
544.000000	3.650645	-28.707163	4.327038	14.399899	
545.000000	3.639858	-29.423450	4.321106	14.447865	
546.000000	3.628786	-30.157446	4.315195	14.499484	
547.000000	3.617431	-30.909786	4.309312	14.554955	
548.000000	3.605793	-31.681141	4.303463	14.614486	
549.000000	3.593875	-32.472225	4.297656	14.678290	
550.000000	3.581679	-33.283806	4.291897	14.746592	
551.000000	3.569206	-34.116688	4.286193	14.819621	
552.000000	3.556459	-34.971748	4.280551	14.897620	
553.000000	3.543440	-35.849926	4.274977	14.980845	
554.000000	3.530152	-36.752235	4.269476	15.069566	
555.000000	3.516597	-37.679775	4.264056	15.164069	
556.000000	3.502778	-38.633732	4.258722	15.264668	
557.000000	3.488699	-39.615398	4.253479	15.371702	
558.000000	3.474362	-40.626186	4.248334	15.485552	
559.000000	3.459771	-41.667633	4.243292	15.606641	
560.000000	3.444928	-42.741425	4.238358	15.735455	
561.000000	3.429838	-43.849407	4.233536	15.872553	
562.000000	3.414504	-44.993610	4.228833	16.018589	
563.000000	3.398929	-46.176247	4.224252	16.174335	
564.000000	3.383118	-47.399750	4.219799	16.340712	
565.000000	3.367073	-48.666779	4.215477	16.518814	
566.000000	3.350799	-49.980232	4.211292	16.709959	
567.000000	3.334300	-51.343262	4.207246	16.915733	
568.000000	3.317580	-52.759274	4.203344	17.138037	
569.000000	3.300643	-54.231945	4.199591	17.379156	
570.000000	3.283493	-55.765209	4.195989	17.641819	
571.000000	3.266134	-57.363243	4.192541	17.929283	
572.000000	3.248569	-59.030441	4.189252	18.245409	
573.000000	3.230805	-60.771378	4.186124	18.594749	
574.000000	3.212844	-62.590759	4.183161	18.982639	
575.000000	3.194691	-64.493340	4.180365	19.415297	
576.000000	3.176350	-66.483841	4.177738	19.899902	
577.000000	3.157825	-68.566833	4.175284	20.444704	
578.000000	3.139120	-70.746620	4.173006	21.059088	
579.000000	3.120241	-73.027039	4.170904	21.753656	
580.000000	3.101190	-75.411308	4.168982	22.540276	
581.000000	3.081973	-77.901833	4.167241	23.432114	
582.000000	3.062594	-80.499931	4.165683	24.443649	
583.000000	3.043056	-83.205643	4.164311	25.590633	
584.000000	3.023364	-86.017426	4.163125	26.890038	
585.000000	3.003522	-88.931923	4.162127	28.359941	
586.000000	2.983535	-91.943665	4.161319	30.019375	
587.000000	2.963406	-95.044800	4.160701	31.888119	
588.000000	2.943140	-98.224869	4.160275	33.986450	
589.000000	2.922740	-101.470551	4.160043	36.334812	
590.000000	2.902211	-104.765472	4.160004	38.953480	
591.000000	2.881557	-108.090073	4.160161	41.862114	
592.000000	2.860780	-111.421455	4.160512	45.079323	
593.000000	2.839887	-114.733429	4.161060	48.622169	
594.000000	2.818879	-117.996475	4.161805	52.505619	
595.000000	2.797762	-121.177925	4.162746	56.742023	
596.000000	2.776538	-124.242165	4.163886	61.340565	
597.000000	2.755213	-127.150909	4.165223	66.306717	
598.000000	2.733788	-129.863617	4.166758	71.641747	
599.000000	2.712269	-132.337982	4.168490	77.342216	
600.000000	2.690658	-134.530518	4.170422	83.399620	
601.000000	2.668960	-136.397186	4.172551	89.800026	
602.000000	2.647177	-137.894135	4.174879	96.523834	
603.000000	2.625312	-138.978485	4.177404	103.545647	
604.000000	2.603370	-139.609192	4.180127	110.834259	
605.000000	2.581354	-139.747757	4.183047	118.352745	
606.000000	2.559266	-139.359207	4.186164	126.058723	
607.000000	2.537110	-138.412827	4.189477	133.904678	
608.000000	2.514890	-136.882965	4.192987	141.838501	
609.000000	2.492608	-134.749725	4.196692	149.804092	
610.000000	2.470267	-131.999603	4.200592	157.742065	
611.000000	2.447870	-128.625977	4.204687	165.590637	
612.000000	2.425421	-124.629547	4.208975	173.286514	
613.000000	2.402921	-120.018517	4.213456	180.765839	
614.000000	2.380375	-114.808777	4.218129	187.965271	
615.000000	2.357784	-109.023804	4.222994	194.822952	
616.000000	2.335151	-102.694534	4.228049	201.279602	
617.000000	2.312480	-95.858948	4.233294	207.279449	
618.000000	2.289772	-88.561615	4.238728	212.771225	
619.000000	2.267030	-80.853065	4.244350	217.708954	
620.000000	2.244256	-72.789017	4.250159	222.052780	
621.000000	2.221454	-64.429604	4.256154	225.769562	
622.000000	2.198625	-55.838322	4.262333	228.833359	
623.000000	2.175771	-47.081192	4.268697	231.225906	
624.000000	2.152895	-38.225620	4.275243	232.936676	
625.000000	2.130000	-29.339355	4.281972	233.963089	
626.000000	2.107086	-20.489582	4.288881	234.310318	
627.000000	2.084157	-11.741819	4.295969	233.991150	
628.000000	2.061215	-3.158980	4.303237	233.025558	
629.000000	2.038261	5.199424	4.310681	231.440247	
630.000000	2.015298	13.278069	4.318302	229.268066	
631.000000	1.992327	21.026539	4.326098	226.547333	
632.000000	1.969351	28.399845	4.334068	223.321030	
633.000000	1.946371	35.358845	4.342211	219.636063	
634.000000	1.923388	41.870564	4.350524	215.542374	
635.000000	1.900405	47.908386	4.359009	211.092102	
636.000000	1.877424	53.452122	4.367662	206.338760	
637.000000	1.854445	58.487942	4.376483	201.336380	
638.000000	1.831472	63.008217	4.385471	196.138733	
639.000000	1.808504	67.011246	4.394625	190.798584	
640.000000	1.785544	70.500954	4.403943	185.367081	
641.000000	1.762594	73.486427	4.413423	179.893082	
642.000000	1.739654	75.981491	4.423065	174.422729	
643.000000	1.716726	78.004128	4.432868	168.998932	
644.000000	1.693812	79.575974	4.442831	163.661041	
645.000000	1.670913	80.721748	4.452950	158.444687	
646.000000	1.648031	81.468666	4.463228	153.381439	
647.000000	1.625165	81.845879	4.473660	148.498886	
648.000000	1.602319	81.883934	4.484248	143.820480	
649.000000	1.579493	81.614273	4.494988	139.365677	
650.000000	1.556688	81.068695	4.505880	135.149963	
651.000000	1.533906	80.278976	4.516923	131.185104	
652.000000	1.511146	79.276421	4.528115	127.479309	
653.000000	1.488412	78.091522	4.539456	124.037437	
654.000000	1.465703	76.753685	4.550944	120.861343	
655.000000	1.443020	75.290924	4.562578	117.950089	
656.000000	1.420366	73.729698	4.574356	115.300285	
657.000000	1.397740	72.094742	4.586278	112.906403	
658.000000	1.375144	70.408951	4.598342	110.761040	
659.000000	1.352579	68.693291	4.610548	108.855232	
660.000000	1.330044	66.966797	4.622894	107.178757	
661.000000	1.307543	65.246536	4.635378	105.720375	
662.000000	1.285075	63.547668	4.648000	104.468086	
663.000000	1.262640	61.883469	4.660759	103.409378	
664.000000	1.240241	60.265419	4.673653	102.531410	
665.000000	1.217878	58.703300	4.686681	101.821236	
666.000000	1.195551	57.205288	4.699843	101.265915	
667.000000	1.173261	55.778061	4.713137	100.852699	
668.000000	1.151010	54.426926	4.726561	100.569138	
669.000000	1.128792	53.155941	4.740115	100.403168	
670.000000	1.106619	51.968037	4.753798	100.343216	
671.000000	1.084485	50.865131	4.767609	100.378220	
672.000000	1.062392	49.848248	4.781547	100.497719	
673.000000	1.040340	48.917641	4.795609	100.691856	
674.000000	1.018330	48.072884	4.809796	100.951401	
675.000000	0.996363	47.312977	4.824107	101.267769	
676.000000	0.974439	46.636448	4.838540	101.632996	
677.000000	0.952559	46.041416	4.853095	102.039742	
678.000000	0.930723	45.525688	4.867769	102.481270	
679.000000	0.908932	45.086819	4.882563	102.951424	
680.000000	0.887186	44.722172	4.897475	103.444603	
681.000000	0.865486	44.428974	4.912505	103.955734	
682.000000	0.843833	44.204361	4.927650	104.480209	
683.000000	0.822227	44.045422	4.942912	105.013908	
684.000000	0.800668	43.949215	4.958287	105.553123	
685.000000	0.779157	43.912830	4.973775	106.094536	
686.000000	0.757694	43.933380	4.989377	106.635208	
687.000000	0.736280	44.008026	5.005089	107.172493	
688.000000	0.714915	44.134010	5.020912	107.704086	
689.000000	0.693599	44.308640	5.036844	108.227913	
690.000000	0.672334	44.529327	5.052886	108.742180	
691.000000	0.651119	44.793560	5.069034	109.245285	
692.000000	0.629954	45.098934	5.085289	109.735840	
693.000000	0.608840	45.443142	5.101651	110.212631	
694.000000	0.587778	45.823975	5.118117	110.674591	
695.000000	0.566768	46.239319	5.134688	111.120804	
696.000000	0.545810	46.687157	5.151361	111.550468	
697.000000	0.524904	47.165569	5.168138	111.962898	
698.000000	0.504051	47.672718	5.185015	112.357513	
699.000000	0.483251	48.206852	5.201993	112.733803	
700.000000	0.462505	48.766315	5.219070	113.091339	
701.000000	0.441812	49.349510	5.236247	113.429771	
702.000000	0.421174	49.954929	5.253521	113.748787	
703.000000	0.400590	50.581127	5.270894	114.048157	
704.000000	0.380060	51.226723	5.288362	114.327660	
705.000000	0.359585	51.890404	5.305925	114.587158	
706.000000	0.339165	52.570904	5.323584	114.826523	
707.000000	0.318801	53.267021	5.341336	115.045670	
